Processor,Array Size,Order Type, Algorithm, time, Executed Lines
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,3003600,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,1801000,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,1834900,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,8600,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,21800,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,6200,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,9000,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,6100,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,6200,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,10000,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,9200,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,9400,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,1,10200,6000
